agency,link to calendar
Los Angeles City Board of Public Works,https://dpwlacity.primegov.com/public/portal 
California State Board of General Contractors,https://www.cslb.ca.gov/Media_Room/Board_and_Committee_meetings/
California State Board of Professional Engineers,https://www.bpelsg.ca.gov/about_us/meetings/index.shtml
California State Bar,https://calbar.primegov.com/public/portal
Norhteast Hollywood Neighborhood Council Board Meeting,https://www.nhnenc.org/event/board-meeting-33/
LAPD Police Commission,https://lacity.gov/directory/police-commissioners-board
LA Firefighter Commission,https://lafd.org/about/organization/fire-commission/calendar-documents-meeting-minutes
LADWP Board,https://www.ladwp.com/who-we-are/board-commissioners/board-agendas?_adf_ctrl-state=hadzpkyka_4&_afrLoop=367112656922430&_afrWindowId=null&_afrWindowMode=0#%40%3F_afrWindowId%3Dnull%26_afrLoop%3D367112656922430%26_afrWindowMode%3D0%26_adf.ctrl-state%3Dnuzrbnlph_4
Sheriff Oversight Commission,https://coc.lacounty.gov/meetings/commission-meetings/
LADOT Board Commission,https://ladot.lacity.gov/about/commissions
LA County Board of Supervisors,https://bos.lacounty.gov/board-meeting-agendas/
California Board of Equalization,https://www.boe.ca.gov/meetings/pubmeet24.htm
California Franchise Tax Board,https://www.ftb.ca.gov/about-ftb/meetings/index.html#2024-meeting-schedule
